Sector,Piscina,Corrida,Estadio,Promedio,%Supervivencia
Sala 02,L0207,0036C,Nauplio 5,32,100
Sala 02,L0208,0036C,Nauplio 5,32,100
Sala 02,L0209,0036C,Nauplio 5,32,100
Sala 02,L0210,0036C,Nauplio 5,32,100
Sala 02,L0211,0036C,Nauplio 5,32,100
Sala 02,L0212,0036C,Nauplio 5,32,100
Sala 03,L0301,0036C,Nauplio 5,33,100
Sala 03,L0302,0036C,Nauplio 5,33,100
Sala 03,L0303,0036C,Nauplio 5,33,100
Sala 03,L0304,0036C,Nauplio 5,33,100
Sala 03,L0305,0036C,Nauplio 5,33,100
Sala 03,L0306,0036C,Nauplio 5,33,100
Sala 02,L0201,0036C,Zoea 1,32,100
Sala 02,L0202,0036C,Zoea 1,32,100
Sala 02,L0203,0036C,Zoea 1,32,100
Sala 02,L0204,0036C,Zoea 1,32,100
Sala 02,L0205,0036C,Zoea 1,32,100
Sala 02,L0206,0036C,Zoea 1,32,100
Sala 02,L0207,0036C,Zoea 1,33,100
Sala 02,L0208,0036C,Zoea 1,33,100
Sala 02,L0209,0036C,Zoea 1,33,100
Sala 02,L0210,0036C,Zoea 1,33,100
Sala 02,L0211,0036C,Zoea 1,33,100
Sala 02,L0212,0036C,Zoea 1,33,100
Sala 03,L0301,0036C,Zoea 1,33,97
Sala 03,L0302,0036C,Zoea 1,34,97
Sala 03,L0303,0036C,Zoea 1,33,97
Sala 03,L0304,0036C,Zoea 1,34,97
Sala 03,L0305,0036C,Zoea 1,33,97
Sala 03,L0306,0036C,Zoea 1,34,95
Sala 03,L0307,0036C,Zoea 1,33,96
Sala 03,L0308,0036C,Zoea 1,33,96
Sala 03,L0309,0036C,Zoea 1,33,96
Sala 03,L0310,0036C,Zoea 1,33,96
Sala 03,L0311,0036C,Zoea 1,33,96
Sala 03,L0312,0036C,Zoea 1,33,96
Sala 02,L0201,0036C,Zoea 2,33,94
Sala 02,L0202,0036C,Zoea 2,33,94
Sala 02,L0203,0036C,Zoea 2,33,98
Sala 02,L0204,0036C,Zoea 2,33,98
Sala 02,L0205,0036C,Zoea 2,33,97
Sala 02,L0206,0036C,Zoea 2,33,97
Sala 02,L0207,0036C,Zoea 2,33,98
Sala 02,L0208,0036C,Zoea 2,33,90
Sala 02,L0209,0036C,Zoea 2,33,97
Sala 02,L0210,0036C,Zoea 2,33,90
Sala 02,L0211,0036C,Zoea 2,33,98
Sala 02,L0212,0036C,Zoea 2,33,95
Sala 03,L0301,0036C,Zoea 2,34,94
Sala 03,L0302,0036C,Zoea 2,34,94
Sala 03,L0303,0036C,Zoea 2,34,94
Sala 03,L0304,0036C,Zoea 2,34,94
Sala 03,L0305,0036C,Zoea 2,34,94
Sala 03,L0306,0036C,Zoea 2,34,91
Sala 03,L0307,0036C,Zoea 2,34,92
Sala 03,L0308,0036C,Zoea 2,34,92
Sala 03,L0309,0036C,Zoea 2,34,93
Sala 03,L0310,0036C,Zoea 2,34,93
Sala 03,L0311,0036C,Zoea 2,34,92
Sala 03,L0312,0036C,Zoea 2,34,93
Sala 02,L0201,0036C,Zoea 3,34,72
Sala 02,L0202,0036C,Zoea 3,34,72
Sala 02,L0203,0036C,Zoea 3,34,86
Sala 02,L0204,0036C,Zoea 3,34,86
Sala 02,L0205,0036C,Zoea 3,34,87
Sala 02,L0206,0036C,Zoea 3,34,86
Sala 02,L0207,0036C,Zoea 3,34,98
Sala 02,L0208,0036C,Zoea 3,34,97
Sala 02,L0209,0036C,Zoea 3,34,97
Sala 02,L0210,0036C,Zoea 3,34,96
Sala 02,L0211,0036C,Zoea 3,34,97
Sala 02,L0212,0036C,Zoea 3,34,96
Sala 03,L0301,0036C,Zoea 3,34,92
Sala 03,L0302,0036C,Zoea 3,34,92
Sala 03,L0303,0036C,Zoea 3,34,91
Sala 03,L0304,0036C,Zoea 3,34,92
Sala 03,L0305,0036C,Zoea 3,34,91
Sala 03,L0306,0036C,Zoea 3,34,88
Sala 03,L0307,0036C,Zoea 3,34,89
Sala 03,L0308,0036C,Zoea 3,34,89
Sala 03,L0309,0036C,Zoea 3,34,90
Sala 03,L0310,0036C,Zoea 3,34,90
Sala 03,L0311,0036C,Zoea 3,34,89
Sala 03,L0312,0036C,Zoea 3,34,90
Sala 02,L0201,0036C,Mysis 1,33,69
Sala 02,L0202,0036C,Mysis 1,33,62
Sala 02,L0203,0036C,Mysis 1,33,80
Sala 02,L0204,0036C,Mysis 1,33,81
Sala 02,L0205,0036C,Mysis 1,33,81
Sala 02,L0206,0036C,Mysis 1,33,81
Sala 02,L0207,0036C,Mysis 1,33,87
Sala 02,L0208,0036C,Mysis 1,33,87
Sala 02,L0209,0036C,Mysis 1,33,88
Sala 02,L0210,0036C,Mysis 1,33,87
Sala 02,L0211,0036C,Mysis 1,33,88
Sala 02,L0212,0036C,Mysis 1,33,87
Sala 03,L0301,0036C,Mysis 1,34,87
Sala 03,L0302,0036C,Mysis 1,34,87
Sala 03,L0303,0036C,Mysis 1,34,85
Sala 03,L0304,0036C,Mysis 1,34,85
Sala 03,L0305,0036C,Mysis 1,34,86
Sala 03,L0306,0036C,Mysis 1,34,84
Sala 03,L0307,0036C,Mysis 1,34,81
Sala 03,L0308,0036C,Mysis 1,34,87
Sala 03,L0309,0036C,Mysis 1,34,87
Sala 03,L0310,0036C,Mysis 1,34,87
Sala 03,L0311,0036C,Mysis 1,34,87
Sala 03,L0312,0036C,Mysis 1,34,87
Sala 02,L0201,0036C,Mysis 2,33,60
Sala 02,L0202,0036C,Mysis 2,33,56
Sala 02,L0203,0036C,Mysis 2,33,76
Sala 02,L0204,0036C,Mysis 2,33,77
Sala 02,L0205,0036C,Mysis 2,33,77
Sala 02,L0206,0036C,Mysis 2,33,76
Sala 02,L0207,0036C,Mysis 2,33,82
Sala 02,L0208,0036C,Mysis 2,33,83
Sala 02,L0209,0036C,Mysis 2,33,83
Sala 02,L0210,0036C,Mysis 2,33,84
Sala 02,L0211,0036C,Mysis 2,33,84
Sala 02,L0212,0036C,Mysis 2,33,83
Sala 03,L0301,0036C,Mysis 2,34,84
Sala 03,L0302,0036C,Mysis 2,34,90
Sala 03,L0303,0036C,Mysis 2,34,80
Sala 03,L0304,0036C,Mysis 2,34,84
Sala 03,L0305,0036C,Mysis 2,34,84
Sala 03,L0306,0036C,Mysis 2,34,84
Sala 03,L0307,0036C,Mysis 2,34,76
Sala 03,L0308,0036C,Mysis 2,34,80
Sala 03,L0309,0036C,Mysis 2,34,83
Sala 03,L0310,0036C,Mysis 2,34,84
Sala 03,L0311,0036C,Mysis 2,34,83
Sala 03,L0312,0036C,Mysis 2,34,81
Sala 02,L0201,0036C,Mysis 3,33,55
Sala 02,L0202,0036C,Mysis 3,33,47
Sala 02,L0203,0036C,Mysis 3,33,73
Sala 02,L0204,0036C,Mysis 3,33,74
Sala 02,L0205,0036C,Mysis 3,33,74
Sala 02,L0206,0036C,Mysis 3,33,74
Sala 02,L0207,0036C,Mysis 3,33,78
Sala 02,L0208,0036C,Mysis 3,33,79
Sala 02,L0209,0036C,Mysis 3,33,79
Sala 02,L0210,0036C,Mysis 3,33,79
Sala 02,L0211,0036C,Mysis 3,33,79
Sala 02,L0212,0036C,Mysis 3,33,78
Sala 03,L0301,0036C,Mysis 3,34,83
Sala 03,L0302,0036C,Mysis 3,34,86
Sala 03,L0303,0036C,Mysis 3,34,82
Sala 03,L0304,0036C,Mysis 3,34,82
Sala 03,L0305,0036C,Mysis 3,34,81
Sala 03,L0306,0036C,Mysis 3,34,81
Sala 03,L0307,0036C,Mysis 3,34,78
Sala 03,L0308,0036C,Mysis 3,34,77
Sala 03,L0309,0036C,Mysis 3,34,78
Sala 03,L0310,0036C,Mysis 3,34,81
Sala 03,L0311,0036C,Mysis 3,34,80
Sala 03,L0312,0036C,Mysis 3,34,79
Sala 02,L0201,0036C,Postlarva 1,33,53
Sala 02,L0202,0036C,Postlarva 1,33,45
Sala 02,L0203,0036C,Postlarva 1,33,71
Sala 02,L0204,0036C,Postlarva 1,33,72
Sala 02,L0205,0036C,Postlarva 1,33,72
Sala 02,L0206,0036C,Postlarva 1,33,72
Sala 02,L0207,0036C,Postlarva 1,33,74
Sala 02,L0208,0036C,Postlarva 1,33,76
Sala 02,L0209,0036C,Postlarva 1,33,76
Sala 02,L0210,0036C,Postlarva 1,33,76
Sala 02,L0211,0036C,Postlarva 1,33,76
Sala 02,L0212,0036C,Postlarva 1,33,76
Sala 03,L0301,0036C,Postlarva 1,33,81
Sala 03,L0302,0036C,Postlarva 1,34,83
Sala 03,L0303,0036C,Postlarva 1,34,80
