Sector,Piscina,Corrida,Estadio,Parametro,Promedio,%Supervivencia
Sala 04,L0401,0028C,Nauplio 5,Oxigeno,5.30,100.00
Sala 04,L0402,0028C,Nauplio 5,Oxigeno,5.37,100.00
Sala 04,L0403,0028C,Nauplio 5,Oxigeno,5.36,100.00
Sala 04,L0404,0028C,Nauplio 5,Oxigeno,5.32,100.00
Sala 04,L0405,0028C,Nauplio 5,Oxigeno,5.36,100.00
Sala 04,L0406,0028C,Nauplio 5,Oxigeno,5.35,100.00
Sala 04,L0407,0028C,Nauplio 5,Oxigeno,5.37,100.00
Sala 04,L0408,0028C,Nauplio 5,Oxigeno,5.35,100.00
Sala 04,L0409,0028C,Nauplio 5,Oxigeno,5.34,100.00
Sala 04,L0410,0028C,Nauplio 5,Oxigeno,5.34,100.00
Sala 04,L0411,0028C,Nauplio 5,Oxigeno,5.35,100.00
Sala 04,L0412,0028C,Nauplio 5,Oxigeno,5.39,100.00
Sala 04,L0401,0029C,Nauplio 5,Oxigeno,5.74,100.00
Sala 04,L0402,0029C,Nauplio 5,Oxigeno,5.65,100.00
Sala 04,L0403,0029C,Nauplio 5,Oxigeno,5.73,100.00
Sala 04,L0404,0029C,Nauplio 5,Oxigeno,5.58,100.00
Sala 04,L0405,0029C,Nauplio 5,Oxigeno,5.63,100.00
Sala 04,L0406,0029C,Nauplio 5,Oxigeno,5.68,100.00
Sala 04,L0407,0029C,Nauplio 5,Oxigeno,5.73,100.00
Sala 04,L0408,0029C,Nauplio 5,Oxigeno,5.68,100.00
Sala 04,L0409,0029C,Nauplio 5,Oxigeno,5.73,100.00
Sala 04,L0410,0029C,Nauplio 5,Oxigeno,5.64,100.00
Sala 04,L0411,0029C,Nauplio 5,Oxigeno,5.71,100.00
Sala 04,L0412,0029C,Nauplio 5,Oxigeno,5.66,100.00
Sala 05,L0501,0030C,Nauplio 5,Oxigeno,5.30,100.00
Sala 05,L0502,0030C,Nauplio 5,Oxigeno,5.26,100.00
