Sector,Piscina,Corrida,Estadio,Parametro,Promedio,%supervivencia
Sala 04,L0401,0028C,Nauplio 5,Saturacion,84.84,100
Sala 04,L0402,0028C,Nauplio 5,Saturacion,84.96,100
Sala 04,L0403,0028C,Nauplio 5,Saturacion,84.79,100
Sala 04,L0404,0028C,Nauplio 5,Saturacion,84.91,100
Sala 04,L0405,0028C,Nauplio 5,Saturacion,84.81,100
Sala 04,L0406,0028C,Nauplio 5,Saturacion,84.93,100
Sala 04,L0407,0028C,Nauplio 5,Saturacion,84.87,100
Sala 04,L0408,0028C,Nauplio 5,Saturacion,84.83,100
Sala 04,L0409,0028C,Nauplio 5,Saturacion,84.93,100
Sala 04,L0410,0028C,Nauplio 5,Saturacion,84.91,100
Sala 04,L0411,0028C,Nauplio 5,Saturacion,84.98,100
Sala 04,L0412,0028C,Nauplio 5,Saturacion,84.84,100
Sala 04,L0401,0030C,Nauplio 5,Saturacion,85.78,100
Sala 04,L0402,0030C,Nauplio 5,Saturacion,85.63,100
Sala 04,L0403,0030C,Nauplio 5,Saturacion,85.85,100
Sala 04,L0404,0030C,Nauplio 5,Saturacion,85.71,100
Sala 04,L0405,0030C,Nauplio 5,Saturacion,85.7,100
Sala 04,L0406,0030C,Nauplio 5,Saturacion,85.7,100
Sala 04,L0407,0030C,Nauplio 5,Saturacion,85.7,100
Sala 04,L0408,0030C,Nauplio 5,Saturacion,85.78,100
Sala 04,L0409,0030C,Nauplio 5,Saturacion,85.7,100
Sala 04,L0410,0030C,Nauplio 5,Saturacion,85.69,100
Sala 04,L0411,0030C,Nauplio 5,Saturacion,85.81,100
Sala 04,L0412,0030C,Nauplio 5,Saturacion,85.73,100
Sala 05,L0501,0030C,Nauplio 5,Saturacion,79.57,100
Sala 05,L0502,0030C,Nauplio 5,Saturacion,79.8,100
Sala 05,L0503,0030C,Nauplio 5,Saturacion,79.71,100
Sala 05,L0504,0030C,Nauplio 5,Saturacion,79.42,100
Sala 05,L0505,0030C,Nauplio 5,Saturacion,78.86,100
Sala 05,L0506,0030C,Nauplio 5,Saturacion,79.78,100
Sala 05,L0507,0030C,Nauplio 5,Saturacion,79.68,100
Sala 05,L0508,0030C,Nauplio 5,Saturacion,79.44,100
Sala 05,L0509,0030C,Nauplio 5,Saturacion,79.47,100
Sala 05,L0510,0030C,Nauplio 5,Saturacion,79.67,100
Sala 04,L0401,0031C,Nauplio 5,Saturacion,82.66,100
Sala 04,L0402,0031C,Nauplio 5,Saturacion,82.69,100
Sala 04,L0403,0031C,Nauplio 5,Saturacion,82.73,100
Sala 04,L0404,0031C,Nauplio 5,Saturacion,82.73,100
Sala 04,L0405,0031C,Nauplio 5,Saturacion,82.73,100
Sala 04,L0406,0031C,Nauplio 5,Saturacion,82.7,100
Sala 04,L0407,0031C,Nauplio 5,Saturacion,82.73,100
