Sector,Piscina,Corrida,Estadio,Parametro,Promedio,%Supervivencia
Sala 04,L0401,0028C,Nauplio 5,Temperatura,31.93,100.00
Sala 04,L0402,0028C,Nauplio 5,Temperatura,31.93,100.00
Sala 04,L0403,0028C,Nauplio 5,Temperatura,31.93,100.00
Sala 04,L0404,0028C,Nauplio 5,Temperatura,31.92,100.00
Sala 04,L0405,0028C,Nauplio 5,Temperatura,31.94,100.00
Sala 04,L0406,0028C,Nauplio 5,Temperatura,31.93,100.00
Sala 04,L0407,0028C,Nauplio 5,Temperatura,32.00,100.00
Sala 04,L0408,0028C,Nauplio 5,Temperatura,31.12,100.00
Sala 04,L0409,0028C,Nauplio 5,Temperatura,31.95,100.00
Sala 04,L0410,0028C,Nauplio 5,Temperatura,31.96,100.00
Sala 04,L0411,0028C,Nauplio 5,Temperatura,31.88,100.00
Sala 04,L0412,0028C,Nauplio 5,Temperatura,31.88,100.00
Sala 04,L0401,0029C,Nauplio 5,Temperatura,31.88,100.00
Sala 04,L0402,0029C,Nauplio 5,Temperatura,31.97,100.00
Sala 04,L0403,0029C,Nauplio 5,Temperatura,31.87,100.00
Sala 04,L0404,0029C,Nauplio 5,Temperatura,31.93,100.00
Sala 04,L0405,0029C,Nauplio 5,Temperatura,31.88,100.00
Sala 04,L0406,0029C,Nauplio 5,Temperatura,31.92,100.00
Sala 04,L0407,0029C,Nauplio 5,Temperatura,31.97,100.00
Sala 04,L0408,0029C,Nauplio 5,Temperatura,31.99,100.00
Sala 04,L0409,0029C,Nauplio 5,Temperatura,31.90,100.00
Sala 04,L0410,0029C,Nauplio 5,Temperatura,31.97,100.00
Sala 04,L0411,0029C,Nauplio 5,Temperatura,32.00,100.00
Sala 04,L0412,0029C,Nauplio 5,Temperatura,31.98,100.00
Sala 04,L0401,0030C,Nauplio 5,Temperatura,32.46,100.00
Sala 04,L0402,0030C,Nauplio 5,Temperatura,32.53,100.00
Sala 04,L0403,0030C,Nauplio 5,Temperatura,32.44,100.00
Sala 04,L0404,0030C,Nauplio 5,Temperatura,32.52,100.00
Sala 04,L0405,0030C,Nauplio 5,Temperatura,32.46,100.00
Sala 04,L0406,0030C,Nauplio 5,Temperatura,32.53,100.00
Sala 04,L0407,0030C,Nauplio 5,Temperatura,32.43,100.00
Sala 04,L0408,0030C,Nauplio 5,Temperatura,32.49,100.00
Sala 04,L0409,0030C,Nauplio 5,Temperatura,32.44,100.00
Sala 04,L0410,0030C,Nauplio 5,Temperatura,32.52,100.00
Sala 04,L0411,0030C,Nauplio 5,Temperatura,32.48,100.00
Sala 04,L0412,0030C,Nauplio 5,Temperatura,32.53,100.00
Sala 05,L0501,0030C,Nauplio 5,Temperatura,32.46,100.00
Sala 05,L0502,0030C,Nauplio 5,Temperatura,32.38,100.00
Sala 05,L0503,0030C,Nauplio 5,Temperatura,32.39,100.00
Sala 05,L0504,0030C,Nauplio 5,Temperatura,32.39,100.00
Sala 05,L0505,0030C,Nauplio 5,Temperatura,32.43,100.00
Sala 05,L0506,0030C,Nauplio 5,Temperatura,32.44,100.00
Sala 05,L0507,0030C,Nauplio 5,Temperatura,32.37,100.00
Sala 05,L0508,0030C,Nauplio 5,Temperatura,32.44,100.00
Sala 05,L0509,0030C,Nauplio 5,Temperatura,32.35,100.00
Sala 05,L0510,0030C,Nauplio 5,Temperatura,32.38,100.00
Sala 04,L0401,0031C,Nauplio 5,Temperatura,31.98,100.00
Sala 04,L0402,0031C,Nauplio 5,Temperatura,32.03,100.00
Sala 04,L0403,0031C,Nauplio 5,Temperatura,32.02,100.00
Sala 04,L0404,0031C,Nauplio 5,Temperatura,32.01,100.00
Sala 04,L0405,0031C,Nauplio 5,Temperatura,32.00,100.00
Sala 04,L0406,0031C,Nauplio 5,Temperatura,31.98,100.00
Sala 04,L0407,0031C,Nauplio 5,Temperatura,31.97,100.00
Sala 04,L0408,0031C,Nauplio 5,Temperatura,31.96,100.00
Sala 04,L0409,0031C,Nauplio 5,Temperatura,31.96,100.00
Sala 04,L0410,0031C,Nauplio 5,Temperatura,32.00,100.00
Sala 05,L0501,0031C,Nauplio 5,Temperatura,32.63,100.00
Sala 05,L0502,0031C,Nauplio 5,Temperatura,32.41,100.00
Sala 05,L0503,0031C,Nauplio 5,Temperatura,32.38,100.00
Sala 05,L0504,0031C,Nauplio 5,Temperatura,32.43,100.00
Sala 05,L0505,0031C,Nauplio 5,Temperatura,32.42,100.00
Sala 05,L0506,0031C,Nauplio 5,Temperatura,32.38,100.00
Sala 04,L0401,0032C,Nauplio 5,Temperatura,31.42,100.00
Sala 04,L0402,0032C,Nauplio 5,Temperatura,31.42,100.00
Sala 04,L0403,0032C,Nauplio 5,Temperatura,31.42,100.00
Sala 04,L0404,0032C,Nauplio 5,Temperatura,31.42,100.00
Sala 04,L0406,0032C,Nauplio 5,Temperatura,31.42,100.00
Sala 04,L0407,0032C,Nauplio 5,Temperatura,31.42,100.00
Sala 04,L0408,0032C,Nauplio 5,Temperatura,31.42,100.00
Sala 04,L0409,0032C,Nauplio 5,Temperatura,31.42,100.00
Sala 04,L0410,0032C,Nauplio 5,Temperatura,31.42,100.00
Sala 04,L0411,0032C,Nauplio 5,Temperatura,31.42,100.00
Sala 04,L0412,0032C,Nauplio 5,Temperatura,31.42,100.00
Sala 05,L0501,0032C,Nauplio 5,Temperatura,32.57,100.00
Sala 05,L0502,0032C,Nauplio 5,Temperatura,32.62,100.00
Sala 05,L0503,0032C,Nauplio 5,Temperatura,32.60,100.00
Sala 05,L0504,0032C,Nauplio 5,Temperatura,32.56,100.00
Sala 05,L0505,0032C,Nauplio 5,Temperatura,32.59,100.00
Sala 05,L0506,0032C,Nauplio 5,Temperatura,32.53,100.00
Sala 05,L0507,0032C,Nauplio 5,Temperatura,32.56,100.00
Sala 05,L0501,0033C,Nauplio 5,Temperatura,31.82,100.00
Sala 05,L0502,0033C,Nauplio 5,Temperatura,31.90,100.00
Sala 05,L0503,0033C,Nauplio 5,Temperatura,31.94,100.00
Sala 05,L0504,0033C,Nauplio 5,Temperatura,31.85,100.00
Sala 05,L0505,0033C,Nauplio 5,Temperatura,31.86,100.00
Sala 05,L0506,0033C,Nauplio 5,Temperatura,31.90,100.00
Sala 07,L0708,0033C,Nauplio 5,Temperatura,31.66,100.00
Sala 07,L0709,0033C,Nauplio 5,Temperatura,31.71,100.00
Sala 10,L1001,0033C,Nauplio 5,Temperatura,31.92,100.00
Sala 10,L1002,0033C,Nauplio 5,Temperatura,32.01,100.00
Sala 10,L1003,0033C,Nauplio 5,Temperatura,31.96,100.00
Sala 10,L1004,0033C,Nauplio 5,Temperatura,32.06,100.00
Sala 10,L1005,0033C,Nauplio 5,Temperatura,31.97,100.00
Sala 10,L1006,0033C,Nauplio 5,Temperatura,31.93,100.00
Sala 10,L1007,0033C,Nauplio 5,Temperatura,32.02,100.00
Sala 10,L1008,0033C,Nauplio 5,Temperatura,32.18,100.00
Sala 10,L1009,0033C,Nauplio 5,Temperatura,32.18,100.00
Sala 10,L1010,0033C,Nauplio 5,Temperatura,32.19,100.00
Sala 10,L1011,0033C,Nauplio 5,Temperatura,32.18,100.00
Sala 10,L1012,0033C,Nauplio 5,Temperatura,32.18,100.00
Sala 10,L1013,0033C,Nauplio 5,Temperatura,32.17,100.00
Sala 10,L1014,0033C,Nauplio 5,Temperatura,32.17,100.00
