Sector,Piscina,Corrida,Cant/Siembra,Zoea 1,Zoea 2,Zoea 3,Mysis 1,Mysis 2,Mysis 3,Postlarva 1,Postlarva 2,Postlarva 3,Postlarva 4,Postlarva 5,Postlarva 6,Postlarva 7,Postlarva 8,Postlarva 9,Postlarva 10,Postlarva 11,Postlarva 12,Postlarva 13,Postlarva 14,Postlarva 15
Sala 04,L0401,0028C,7500,7000,6800,6400,6200,5800,5800,5600,5500,5400,5300,5100,5000,4700,4500,4300,4200,4000,,,,
Sala 04,L0402,0028C,7500,7000,6800,6200,6000,5800,5800,5600,5500,5400,5300,5000,5000,4700,4600,4300,4200,4000,,,,
Sala 04,L0403,0028C,7500,7000,6300,6500,6000,6000,5800,5700,5600,5500,5400,5200,5000,4800,4600,4500,4400,4100,,,,
Sala 04,L0404,0028C,7500,7000,6750,6200,6000,5900,5800,5700,5600,5500,5200,4900,4900,4700,4500,4300,4200,4000,,,,
Sala 04,L0405,0028C,7500,7000,6800,6500,6200,6100,5900,5700,5600,5500,5400,5200,5000,4700,4400,4000,3900,3800,,,,
Sala 04,L0406,0028C,7500,7000,6800,6200,6000,5700,5700,5400,5300,5200,5100,5000,5000,4800,4500,4400,4300,4100,,,,
Sala 04,L0407,0028C,7500,7000,6850,6200,6000,5400,5400,5300,5200,5100,5000,4900,4900,4700,4600,4500,4400,3900,,,,
Sala 04,L0408,0028C,7500,7000,6800,6500,6000,6200,5900,5700,5600,5500,5300,5100,5000,4800,4600,4500,4400,4200,,,,
Sala 04,L0409,0028C,7500,7000,6800,6500,6200,6200,6000,5800,5700,5600,5400,5200,5000,4800,4600,4500,4400,4200,,,,
Sala 04,L0410,0028C,7500,7000,7000,6800,6300,5400,5400,5300,5200,5100,5000,4900,4900,4700,4500,4400,4300,4000,,,,
Sala 04,L0411,0028C,7500,7000,6800,6500,6000,5500,5500,5400,5300,5200,5100,5000,5000,4700,4400,4300,4200,4000,,,,
Sala 04,L0412,0028C,7500,7000,7000,6800,6200,6000,6000,5900,5800,5700,5400,5200,5000,4800,4500,4300,4000,3900,,,,
Sala 04,L0401,0029C,7500,7000,5200,6000,5200,5100,5000,4900,4800,4600,4400,4300,4300,4100,3800,3600,3500,2800,,,,
Sala 04,L0402,0029C,7500,7000,5200,5200,5000,4900,4800,4700,4600,4500,4300,4200,4200,4000,3700,3600,3500,2800,,,,
